nombre,grado,calificacion,asistencia,conducta
Estudiante_1,Cuarto,12.81,64.76,16
Estudiante_2,Quinto,17.86,86.67,13
Estudiante_3,Tercero,9.48,93.56,20
Estudiante_4,Quinto,15.58,59.63,17
Estudiante_5,Quinto,11.68,54.88,14
Estudiante_6,Segundo,18.66,94.89,16
Estudiante_7,Tercero,19.48,67.49,19
Estudiante_8,Tercero,11.2,77.57,12
Estudiante_9,Tercero,11.85,67.98,16
Estudiante_10,Quinto,16.08,56.29,20
Estudiante_11,Cuarto,12.34,79.47,20
Estudiante_12,Tercero,13.36,76.26,17
Estudiante_13,Quinto,13.58,60.15,14
Estudiante_14,Segundo,7.74,72.59,13
Estudiante_15,Cuarto,13.46,89.85,17
Estudiante_16,Segundo,11.43,79.52,17
Estudiante_17,Cuarto,12.02,54.85,12
Estudiante_18,Quinto,17.83,77.4,15
Estudiante_19,Primero,9.73,85.14,14
Estudiante_20,Cuarto,15.94,89.64,11
Estudiante_21,Segundo,12.66,81.46,17
Estudiante_22,Quinto,12.66,57.63,15
Estudiante_23,Cuarto,15.87,85.51,11
Estudiante_24,Primero,14.52,83.87,14
Estudiante_25,Primero,15.21,51.22,10
Estudiante_26,Tercero,16.4,70.59,19
Estudiante_27,Tercero,12.51,66.65,15
Estudiante_28,Segundo,11.66,83.47,18
Estudiante_29,Cuarto,10.24,60.81,10
Estudiante_30,Cuarto,11.02,79.54,20
Estudiante_31,Tercero,20.0,95.66,20
Estudiante_32,Cuarto,17.23,89.89,19
Estudiante_33,Cuarto,9.45,96.07,12
Estudiante_34,Primero,9.53,98.93,16
Estudiante_35,Tercero,14.95,50.53,13
Estudiante_36,Quinto,15.14,81.14,18
Estudiante_37,Tercero,15.15,70.64,12
Estudiante_38,Quinto,12.74,92.99,14
Estudiante_39,Primero,13.12,62.59,12
Estudiante_40,Segundo,14.48,99.05,16
Estudiante_41,Cuarto,13.76,80.69,14
Estudiante_42,Primero,6.84,89.68,18
Estudiante_43,Cuarto,12.81,54.28,16
Estudiante_44,Segundo,10.95,59.17,11
Estudiante_45,Segundo,14.03,87.92,13
Estudiante_46,Primero,20.0,51.1,18
Estudiante_47,Segundo,14.6,90.84,11
Estudiante_48,Quinto,12.56,50.7,19
Estudiante_49,Segundo,16.27,82.86,18
Estudiante_50,Cuarto,14.95,68.25,19
Estudiante_51,Cuarto,14.76,80.57,14
Estudiante_52,Cuarto,15.32,84.8,11
Estudiante_53,Cuarto,19.67,67.12,13
Estudiante_54,Quinto,10.11,55.4,16
Estudiante_55,Tercero,14.92,53.48,17
Estudiante_56,Primero,10.72,79.45,12
Estudiante_57,Cuarto,15.17,76.03,10
Estudiante_58,Segundo,10.74,87.11,13
Estudiante_59,Cuarto,12.25,75.49,11
Estudiante_60,Segundo,12.61,71.12,17
Estudiante_61,Segundo,16.43,69.9,13
Estudiante_62,Cuarto,16.26,51.32,11
Estudiante_63,Quinto,9.76,66.78,15
Estudiante_64,Segundo,13.66,98.8,15
Estudiante_65,Segundo,11.37,93.68,19
Estudiante_66,Cuarto,9.72,66.47,13
Estudiante_67,Segundo,12.85,79.39,15
Estudiante_68,Segundo,12.57,92.36,11
Estudiante_69,Cuarto,20.0,72.06,19
Estudiante_70,Cuarto,14.8,50.9,11
Estudiante_71,Primero,9.37,53.73,19
Estudiante_72,Quinto,11.81,75.52,13
Estudiante_73,Quinto,16.56,98.47,17
Estudiante_74,Segundo,19.77,84.66,16
Estudiante_75,Quinto,8.74,53.55,18
Estudiante_76,Segundo,7.86,59.47,17
Estudiante_77,Primero,19.11,88.57,14
Estudiante_78,Cuarto,14.67,92.07,11
Estudiante_79,Cuarto,10.9,80.88,14
Estudiante_80,Cuarto,15.1,82.22,17
Estudiante_81,Quinto,5.59,51.42,19
Estudiante_82,Primero,13.51,91.43,18
Estudiante_83,Quinto,14.48,89.41,18
Estudiante_84,Quinto,16.27,62.95,10
Estudiante_85,Primero,10.46,85.43,18
Estudiante_86,Primero,13.76,60.74,16
Estudiante_87,Primero,10.72,52.02,18
Estudiante_88,Primero,14.27,60.06,17
Estudiante_89,Cuarto,10.81,58.93,10
Estudiante_90,Tercero,12.28,66.89,17
Estudiante_91,Tercero,10.51,70.92,17
Estudiante_92,Primero,15.45,75.43,20
Estudiante_93,Tercero,16.08,73.84,12
Estudiante_94,Tercero,12.8,63.53,10
Estudiante_95,Primero,13.61,51.46,17
Estudiante_96,Tercero,9.15,80.26,12
Estudiante_97,Quinto,12.6,69.79,12
Estudiante_98,Segundo,13.35,64.93,10
Estudiante_99,Segundo,20.0,93.35,20
Estudiante_100,Primero,10.16,87.34,14
Estudiante_101,Cuarto,17.89,92.89,19
Estudiante_102,Primero,16.49,74.75,16
Estudiante_103,Cuarto,14.34,56.55,19
Estudiante_104,Segundo,18.78,84.81,18
Estudiante_105,Primero,14.62,60.3,16
Estudiante_106,Quinto,14.67,72.06,18
Estudiante_107,Tercero,13.34,53.25,17
Estudiante_108,Cuarto,17.17,91.27,11
Estudiante_109,Tercero,16.79,56.3,10
Estudiante_110,Tercero,11.62,95.15,16
Estudiante_111,Primero,9.54,93.21,16
Estudiante_112,Tercero,12.89,73.23,17
Estudiante_113,Quinto,11.1,87.22,14
Estudiante_114,Tercero,13.31,80.97,12
Estudiante_115,Primero,17.21,90.15,17
Estudiante_116,Quinto,12.13,71.59,15
Estudiante_117,Segundo,13.37,89.29,20
Estudiante_118,Tercero,13.67,73.12,12
Estudiante_119,Primero,16.05,97.05,10
Estudiante_120,Segundo,6.76,74.32,12
Estudiante_121,Segundo,11.68,73.13,14
Estudiante_122,Cuarto,14.13,89.25,12
Estudiante_123,Quinto,17.1,91.08,10
Estudiante_124,Tercero,12.02,77.72,14
Estudiante_125,Primero,7.87,58.99,19
Estudiante_126,Cuarto,15.36,73.39,16
Estudiante_127,Quinto,11.59,98.4,16
Estudiante_128,Cuarto,9.93,87.65,20
Estudiante_129,Quinto,11.63,90.56,18
Estudiante_130,Quinto,12.95,51.64,19
Estudiante_131,Tercero,11.69,73.39,19
Estudiante_132,Quinto,6.88,82.33,12
Estudiante_133,Cuarto,16.19,91.5,16
Estudiante_134,Quinto,17.32,52.46,10
Estudiante_135,Tercero,15.45,92.62,13
Estudiante_136,Tercero,10.09,77.42,13
Estudiante_137,Cuarto,12.9,59.87,14
Estudiante_138,Segundo,13.48,65.86,16
Estudiante_139,Segundo,15.3,64.1,16
Estudiante_140,Quinto,15.51,76.54,20
Estudiante_141,Primero,11.3,52.58,13
Estudiante_142,Quinto,13.75,57.93,16
Estudiante_143,Cuarto,14.87,90.63,20
Estudiante_144,Cuarto,17.87,56.63,12
Estudiante_145,Cuarto,15.61,61.67,15
Estudiante_146,Cuarto,15.87,72.67,11
Estudiante_147,Cuarto,13.75,75.86,19
Estudiante_148,Tercero,17.73,88.18,18
Estudiante_149,Segundo,14.73,72.37,14
Estudiante_150,Cuarto,10.92,89.49,15
Estudiante_151,Primero,17.71,80.92,13
Estudiante_152,Primero,15.59,55.65,20
Estudiante_153,Primero,12.17,57.82,19
Estudiante_154,Primero,12.06,71.85,16
Estudiante_155,Tercero,14.39,69.84,18
Estudiante_156,Primero,14.89,87.18,16
Estudiante_157,Cuarto,14.09,79.04,10
Estudiante_158,Quinto,14.43,69.41,10
Estudiante_159,Primero,18.6,58.54,18
Estudiante_160,Tercero,16.71,61.34,20
Estudiante_161,Tercero,14.07,78.78,18
Estudiante_162,Primero,16.32,71.17,13
Estudiante_163,Quinto,10.4,75.75,18
Estudiante_164,Primero,14.69,58.53,12
Estudiante_165,Tercero,18.93,83.15,16
Estudiante_166,Segundo,12.85,92.63,15
Estudiante_167,Cuarto,10.96,62.9,17
Estudiante_168,Tercero,11.54,74.58,20
Estudiante_169,Primero,10.23,98.78,18
Estudiante_170,Cuarto,11.15,66.66,14
Estudiante_171,Primero,12.39,79.75,10
Estudiante_172,Primero,9.28,54.51,12
Estudiante_173,Segundo,13.55,80.3,19
Estudiante_174,Cuarto,16.21,54.48,17
Estudiante_175,Cuarto,10.78,97.96,20
Estudiante_176,Segundo,18.06,85.78,15
Estudiante_177,Tercero,15.03,89.41,17
Estudiante_178,Primero,16.59,85.21,18
Estudiante_179,Quinto,11.53,79.49,13
Estudiante_180,Primero,16.06,72.5,10
Estudiante_181,Primero,10.22,92.92,10
Estudiante_182,Tercero,16.17,97.84,19
Estudiante_183,Primero,14.02,74.95,13
Estudiante_184,Segundo,15.16,96.58,16
Estudiante_185,Segundo,9.97,79.17,11
Estudiante_186,Cuarto,10.81,76.92,12
Estudiante_187,Quinto,15.29,72.72,10
Estudiante_188,Primero,10.65,60.46,14
Estudiante_189,Primero,14.89,50.19,10
Estudiante_190,Tercero,9.4,62.08,17
Estudiante_191,Segundo,16.04,75.49,10
Estudiante_192,Quinto,9.8,69.0,20
Estudiante_193,Cuarto,15.16,72.42,10
Estudiante_194,Segundo,15.38,99.03,11
Estudiante_195,Cuarto,11.41,67.51,11
Estudiante_196,Tercero,15.25,72.61,15
Estudiante_197,Tercero,14.28,56.68,16
Estudiante_198,Primero,11.88,52.4,14
Estudiante_199,Quinto,10.47,88.77,10
Estudiante_200,Cuarto,7.61,78.53,10
Estudiante_201,Segundo,14.55,88.04,12
Estudiante_202,Tercero,8.81,57.49,11
Estudiante_203,Primero,13.79,78.59,14
Estudiante_204,Primero,12.71,62.68,19
Estudiante_205,Cuarto,15.54,61.4,15
Estudiante_206,Tercero,12.59,50.58,16
Estudiante_207,Quinto,12.51,56.52,13
Estudiante_208,Tercero,15.7,65.46,16
Estudiante_209,Cuarto,14.51,55.84,20
Estudiante_210,Cuarto,14.45,99.29,17
Estudiante_211,Tercero,14.91,65.43,20
Estudiante_212,Cuarto,8.89,56.52,10
Estudiante_213,Tercero,15.77,59.95,15
Estudiante_214,Segundo,15.34,79.39,17
Estudiante_215,Tercero,10.45,53.2,14
Estudiante_216,Tercero,12.77,93.12,13
Estudiante_217,Cuarto,13.38,98.07,11
Estudiante_218,Cuarto,13.1,62.34,15
Estudiante_219,Primero,14.5,72.5,15
